code_station,libelle_station,libelle_cours_eau,libelle_commune,code_departement,latitude,longitude,module_m3s,q25_m3s,qmna5_m3s,nb_annees
Y161205701,L'Aude à Cuxac-d'Aude [Déversoir Horto de Blazy],L'Aude,CUXAC-D'AUDE,11,43.238689,3.009331,,,,
Y161205901,L'Aude à Sallèles-d'Aude [Digues de Sallèles d'Aude],L'Aude,SALLELES-D'AUDE,11,43.253827,2.945892,,,,
Y161206101,[Chenal de Coursan] à Coursan,,COURSAN,11,43.240273,3.05753,,,,
O314101001,Le Tarn à Mostuéjouls [La Muse],Le Tarn,MOSTUEJOULS,12,44.209538,3.222334,30.525,9.4,5.412,112
O314101101,Le Tarn à Mostuéjouls [Source de Mas de Lafon] - Station de Mas de Lafon,Le Tarn,MOSTUEJOULS,12,44.22005,3.222788,0.0413,0.034,0.029,20
O323000201,La Barbade à Aguessac [Source de Barbade] - Station de Barbade,La Barbade,AGUESSAC,12,44.161122,3.088923,0.0838,0.027,0.017,25
O323000301,La Barbade à Aguessac [Source Bousterjack-Fontliane] - Station Bousterjack-Fontliane,La Barbade,AGUESSAC,12,44.156015,3.069724,,,,
O323000401,Le Lumansonesque à Verrières [Source de Saint Pierre] - Station de Saint-Pierre,Le Lumansonesque,VERRIERES,12,44.225234,3.015572,0.2437,0.006,0.004,11
O333402002,La Dourbie à Nant,La Dourbie,NANT,12,44.023011,3.304502,6.0025,2.561,1.206,12
O333402101,Le Durzon à Nant [Source du Durzon],Le Durzon,NANT,12,43.996873,3.285374,1.5551,0.95,0.756,26
O336402101,La Dourbie à Nant [EDF - Pont de Gardies],La Dourbie,NANT,12,44.072952,3.288465,7.1529,1.938,1.175,62
O339403004,La Dourbie à Millau [Massebiau 1] - Massebiau 3,La Dourbie,MILLAU,12,44.101651,3.129373,11.5757,4.138,2.659,40
O339403101,La Dourbie à la Roque-Sainte-Marguerite [Source de l'Espérelle],La Dourbie,ROQUE-SAINTE-MARGUERITE,12,44.121311,3.20947,1.0023,0.243,0.161,26
O340101002,Le Tarn à Millau - HE,Le Tarn,MILLAU,12,44.092287,3.075565,46.1232,16.0,8.944,51
O340101003,Le Tarn à Millau - Aval HG,Le Tarn,MILLAU,12,44.090312,3.067508,42.7881,13.966,8.681,13
O340101101,Le ruisseau de Saint-Martin à Creissels [Source du Boundoulaou] - Station du Boundoulaou,Ruisseau de Saint-Martin,CREISSELS,12,44.070791,3.05067,0.2316,0.09,0.062,26
O340101201,[La source de Homède] à Creissels - Ruisseau des cascades de Creissels,,CREISSELS,12,44.082008,3.062504,0.2904,0.095,0.054,31
O341000101,Le ruisseau du Brias à Tournemire [Source du Brias] - Station Balastière,Ruisseau du Brias,TOURNEMIRE,12,43.97152,3.027141,0.067,0.008,0.005,25
